"City|State short|State full|County|City alias"
"Toronto|ON|Ontario||"
"Montreal|QC|Quebec||"
"Vancouver|BC|British Columbia||"
"Calgary|AB|Alberta||"
"Edmonton|AB|Alberta||"
"Ottawa|ON|Ontario||"
"Mississauga|ON|Ontario||"
"Winnipeg|MB|Manitoba||"
"Quebec City|QC|Quebec||"
"Hamilton|ON|Ontario||"
"Brampton|ON|Ontario||"
"Surrey|BC|British Columbia||"
"Kitchener|ON|Ontario||"
"Laval|QC|Quebec||"
"Halifax|NS|Nova Scotia||"
"London|ON|Ontario||"
"Victoria|BC|British Columbia||"
"Markham|ON|Ontario||"
"St. Catharines|ON|Ontario||"
"Niagara Falls|ON|Ontario||"
"Vaughan|ON|Ontario||"
"Gatineau|QC|Quebec||"
"Windsor|ON|Ontario||"
"Saskatoon|SK|Saskatchewan||"
"Longueuil|QC|Quebec||"
"Burnaby|BC|British Columbia||"
"Regina|SK|Saskatchewan||"
"Richmond|BC|British Columbia||"
"Richmond Hill|ON|Ontario||"
"Oakville|ON|Ontario||"
"Burlington|ON|Ontario||"
"Barrie|ON|Ontario||"
"Oshawa|ON|Ontario||"
"Sherbrooke|QC|Quebec||"
"Saguenay|QC|Quebec||"
"Levis|QC|Quebec||"
"Kelowna|BC|British Columbia||"
"Abbotsford|BC|British Columbia||"
"Coquitlam|BC|British Columbia||"
"Trois-Rivieres|QC|Quebec||"
"Guelph|ON|Ontario||"
"Cambridge|ON|Ontario||"
"Whitby|ON|Ontario||"
"Ajax|ON|Ontario||"
"Langley|BC|British Columbia||"
"Saanich|BC|British Columbia||"
"Terrebonne|QC|Quebec||"
"Milton|ON|Ontario||"
"St. John's|NL|Newfoundland and Labrador||"
"Moncton|NB|New Brunswick||"
"Thunder Bay|ON|Ontario||"
"Dieppe|NB|New Brunswick||"
"Waterloo|ON|Ontario||"
"Delta|BC|British Columbia||"
"Chatham|ON|Ontario||"
"Red Deer|AB|Alberta||"
"Kamloops|BC|British Columbia||"
"Brantford|ON|Ontario||"
"Cape Breton|NS|Nova Scotia||"
"Lethbridge|AB|Alberta||"
"Saint-Jean-sur-Richelieu|QC|Quebec||"
"Clarington|ON|Ontario||"
"Pickering|ON|Ontario||"
"Nanaimo|BC|British Columbia||"
"Sudbury|ON|Ontario||"
"North Vancouver|BC|British Columbia||"
"Brossard|QC|Quebec||"
"Repentigny|QC|Quebec||"
"Newmarket|ON|Ontario||"
"Chilliwack|BC|British Columbia||"
"White Rock|BC|British Columbia||"
"Maple Ridge|BC|British Columbia||"
"Peterborough|ON|Ontario||"
"Kawartha Lakes|ON|Ontario||"
"Prince George|BC|British Columbia||"
"Sault Ste. Marie|ON|Ontario||"
"Sarnia|ON|Ontario||"
"Wood Buffalo|AB|Alberta||"
"New Westminster|BC|British Columbia||"
"Chateauguay|QC|Quebec||"
"Saint-Jerome|QC|Quebec||"
"Drummondville|QC|Quebec||"
"Saint John|NB|New Brunswick||"
"Caledon|ON|Ontario||"
"St. Albert|AB|Alberta||"
"Granby|QC|Quebec||"
"Medicine Hat|AB|Alberta||"
"Grande Prairie|AB|Alberta||"
"St. Thomas|ON|Ontario||"
"Airdrie|AB|Alberta||"
"Halton Hills|ON|Ontario||"
"Saint-Hyacinthe|QC|Quebec||"
"Lac-Brome|QC|Quebec||"
"Port Coquitlam|BC|British Columbia||"
"Fredericton|NB|New Brunswick||"
"Blainville|QC|Quebec||"
"Aurora|ON|Ontario||"
"Welland|ON|Ontario||"
"North Bay|ON|Ontario||"
"Beloeil|QC|Quebec||"
"Belleville|ON|Ontario||"
"Mirabel|QC|Quebec||"
"Shawinigan|QC|Quebec||"
"Dollard-des-Ormeaux|QC|Quebec||"
"Brandon|MB|Manitoba||"
"Rimouski|QC|Quebec||"
"Cornwall|ON|Ontario||"
"Stouffville|ON|Ontario||"
"Georgina|ON|Ontario||"
"Victoriaville|QC|Quebec||"
"Vernon|BC|British Columbia||"
"Duncan|BC|British Columbia||"
"Saint-Eustache|QC|Quebec||"
"Quinte West|ON|Ontario||"
"Charlottetown|PE|Prince Edward Island||"
"Mascouche|QC|Quebec||"
"West Vancouver|BC|British Columbia||"
"Salaberry-de-Valleyfield|QC|Quebec||"
"Rouyn-Noranda|QC|Quebec||"
"Timmins|ON|Ontario||"
"Sorel-Tracy|QC|Quebec||"
"New Tecumseth|ON|Ontario||"
"Woodstock|ON|Ontario||"
"Boucherville|QC|Quebec||"
"Mission|BC|British Columbia||"
"Vaudreuil-Dorion|QC|Quebec||"
"Brant|ON|Ontario||"
"Lakeshore|ON|Ontario||"
"Innisfil|ON|Ontario||"
"Prince Albert|SK|Saskatchewan||"
"Langford Station|BC|British Columbia||"
"Bradford West Gwillimbury|ON|Ontario||"
"Campbell River|BC|British Columbia||"
"Spruce Grove|AB|Alberta||"
"Moose Jaw|SK|Saskatchewan||"
"Penticton|BC|British Columbia||"
"Port Moody|BC|British Columbia||"
"Leamington|ON|Ontario||"
"East Kelowna|BC|British Columbia||"
"Cote-Saint-Luc|QC|Quebec||"
"Val-d'Or|QC|Quebec||"
"Owen Sound|ON|Ontario||"
"Stratford|ON|Ontario||"
"Lloydminster|SK|Saskatchewan||"
"Pointe-Claire|QC|Quebec||"
"Orillia|ON|Ontario||"
"Alma|QC|Quebec||"
"Orangeville|ON|Ontario||"
"Fort Erie|ON|Ontario||"
"LaSalle|ON|Ontario||"
"Sainte-Julie|QC|Quebec||"
"Leduc|AB|Alberta||"
"North Cowichan|BC|British Columbia||"
"Chambly|QC|Quebec||"
"Okotoks|AB|Alberta||"
"Sept-Iles|QC|Quebec||"
"Centre Wellington|ON|Ontario||"
"Saint-Constant|QC|Quebec||"
"Grimsby|ON|Ontario||"
"Boisbriand|QC|Quebec||"
"Conception Bay South|NL|Newfoundland and Labrador||"
"Saint-Bruno-de-Montarville|QC|Quebec||"
"Sainte-Therese|QC|Quebec||"
"Cochrane|AB|Alberta||"
"Thetford Mines|QC|Quebec||"
"Courtenay|BC|British Columbia||"
"Magog|QC|Quebec||"
"Whitehorse|YT|Yukon||"
"Woolwich|ON|Ontario||"
"Clarence-Rockland|ON|Ontario||"
"Fort Saskatchewan|AB|Alberta||"
"East Gwillimbury|ON|Ontario||"
"Lincoln|ON|Ontario||"
"La Prairie|QC|Quebec||"
"Tecumseh|ON|Ontario||"
"Mount Pearl Park|NL|Newfoundland and Labrador||"
"Amherstburg|ON|Ontario||"
"Saint-Lambert|QC|Quebec||"
"Brockville|ON|Ontario||"
"Collingwood|ON|Ontario||"
"Scugog|ON|Ontario||"
"Kingsville|ON|Ontario||"
"Baie-Comeau|QC|Quebec||"
"Paradise|NL|Newfoundland and Labrador||"
"Uxbridge|ON|Ontario||"
"Essa|ON|Ontario||"
"Candiac|QC|Quebec||"
"Oro-Medonte|ON|Ontario||"
"Varennes|QC|Quebec||"
"Strathroy-Caradoc|ON|Ontario||"
"Wasaga Beach|ON|Ontario||"
"New Glasgow|NS|Nova Scotia||"
"Wilmot|ON|Ontario||"
"Essex|ON|Ontario||"
"Fort St. John|BC|British Columbia||"
"Kirkland|QC|Quebec||"
"L'Assomption|QC|Quebec||"
"Westmount|QC|Quebec||"
"Saint-Lazare|QC|Quebec||"
"Chestermere|AB|Alberta||"
"Huntsville|ON|Ontario||"
"Corner Brook|NL|Newfoundland and Labrador||"
"Riverview|NB|New Brunswick||"
"Lloydminster|AB|Alberta||"
"Joliette|QC|Quebec||"
"Yellowknife|NT|Northwest Territories||"
"Squamish|BC|British Columbia||"
"Mont-Royal|QC|Quebec||"
"Riviere-du-Loup|QC|Quebec||"
"Cobourg|ON|Ontario||"
"Cranbrook|BC|British Columbia||"
"Beaconsfield|QC|Quebec||"
"Springwater|ON|Ontario||"
"Dorval|QC|Quebec||"
"Thorold|ON|Ontario||"
"Camrose|AB|Alberta||"
"South Frontenac|ON|Ontario||"
"Pitt Meadows|BC|British Columbia||"
"Port Colborne|ON|Ontario||"
"Quispamsis|NB|New Brunswick||"
"Mont-Saint-Hilaire|QC|Quebec||"
"Bathurst|NB|New Brunswick||"
"Saint-Augustin-de-Desmaures|QC|Quebec||"
"Oak Bay|BC|British Columbia||"
"Sainte-Marthe-sur-le-Lac|QC|Quebec||"
"Salmon Arm|BC|British Columbia||"
"Port Alberni|BC|British Columbia||"
"Esquimalt|BC|British Columbia||"
"Deux-Montagnes|QC|Quebec||"
"Miramichi|NB|New Brunswick||"
"Niagara-on-the-Lake|ON|Ontario||"
"Saint-Lin--Laurentides|QC|Quebec||"
"Beaumont|AB|Alberta||"
"Middlesex Centre|ON|Ontario||"
"Inverness|NS|Nova Scotia||"
"Stony Plain|AB|Alberta||"
"Petawawa|ON|Ontario||"
"Pelham|ON|Ontario||"
"Selwyn|ON|Ontario||"
"Loyalist|ON|Ontario||"
"Midland|ON|Ontario||"
"Colwood|BC|British Columbia||"
"Central Saanich|BC|British Columbia||"
"Sainte-Catherine|QC|Quebec||"
"Port Hope|ON|Ontario||"
"L'Ancienne-Lorette|QC|Quebec||"
"Saint-Basile-le-Grand|QC|Quebec||"
"Swift Current|SK|Saskatchewan||"
"Edmundston|NB|New Brunswick||"
"Russell|ON|Ontario||"
"North Grenville|ON|Ontario||"
"Yorkton|SK|Saskatchewan||"
"Tracadie|NB|New Brunswick||"
"Bracebridge|ON|Ontario||"
"Greater Napanee|ON|Ontario||"
"Tillsonburg|ON|Ontario||"
"Steinbach|MB|Manitoba||"
"Hanover|MB|Manitoba||"
"Terrace|BC|British Columbia||"
"Springfield|MB|Manitoba||"
"Gaspe|QC|Quebec||"
"Kenora|ON|Ontario||"
"Cold Lake|AB|Alberta||"
"Summerside|PE|Prince Edward Island||"
"Comox|BC|British Columbia||"
"Sylvan Lake|AB|Alberta||"
"Pincourt|QC|Quebec||"
"West Lincoln|ON|Ontario||"
"Matane|QC|Quebec||"
"Brooks|AB|Alberta||"
"Sainte-Anne-des-Plaines|QC|Quebec||"
"West Nipissing / Nipissing Ouest|ON|Ontario||"
"Rosemere|QC|Quebec||"
"Mistassini|QC|Quebec||"
"Grand Falls|NL|Newfoundland and Labrador||"
"Clearview|ON|Ontario||"
"St. Clair|ON|Ontario||"
"Canmore|AB|Alberta||"
"North Battleford|SK|Saskatchewan||"
"Pembroke|ON|Ontario||"
"Mont-Laurier|QC|Quebec||"
"Strathmore|AB|Alberta||"
"Saugeen Shores|ON|Ontario||"
"Thompson|MB|Manitoba||"
"Lavaltrie|QC|Quebec||"
"High River|AB|Alberta||"
"Severn|ON|Ontario||"
"Sainte-Sophie|QC|Quebec||"
"Saint-Charles-Borromee|QC|Quebec||"
"Portage La Prairie|MB|Manitoba||"
"Thames Centre|ON|Ontario||"
"Mississippi Mills|ON|Ontario||"
"Powell River|BC|British Columbia||"
"South Glengarry|ON|Ontario||"
"North Perth|ON|Ontario||"
"Mercier|QC|Quebec||"
"South Stormont|ON|Ontario||"
"Saint-Colomban|QC|Quebec||"
"Lacombe|AB|Alberta||"
"Sooke|BC|British Columbia||"
"Dawson Creek|BC|British Columbia||"
"Lake Country|BC|British Columbia||"
"Trent Hills|ON|Ontario||"
"Sainte-Marie|QC|Quebec||"
"Guelph/Eramosa|ON|Ontario||"
"Truro|NS|Nova Scotia||"
"Amos|QC|Quebec||"
"The Nation / La Nation|ON|Ontario||"
"Ingersoll|ON|Ontario||"
"Winkler|MB|Manitoba||"
"Wetaskiwin|AB|Alberta||"
"Central Elgin|ON|Ontario||"
"Lachute|QC|Quebec||"
"West Grey|ON|Ontario||"
"Parksville|BC|British Columbia||"
"Cowansville|QC|Quebec||"
"Becancour|QC|Quebec||"
"Gravenhurst|ON|Ontario||"
"Perth East|ON|Ontario||"
"Prince Rupert|BC|British Columbia||"
"Prevost|QC|Quebec||"
"Sainte-Adele|QC|Quebec||"
"Kentville|NS|Nova Scotia||"
"Beauharnois|QC|Quebec||"
"Les Iles-de-la-Madeleine|QC|Quebec||"
"Wellington North|ON|Ontario||"
"St. Andrews|MB|Manitoba||"
"Carleton Place|ON|Ontario||"
"Whistler|BC|British Columbia||"
"Brighton|ON|Ontario||"
"Tiny|ON|Ontario||"
"Gander|NL|Newfoundland and Labrador||"
"Sidney|BC|British Columbia||"
"Rothesay|NB|New Brunswick||"
"Brock|ON|Ontario||"
"Summerland|BC|British Columbia||"
"Val-des-Monts|QC|Quebec||"
"Tache|MB|Manitoba||"
"Montmagny|QC|Quebec||"
"Erin|ON|Ontario||"
"Kincardine|ON|Ontario||"
"North Dundas|ON|Ontario||"
"Wellesley|ON|Ontario||"
"Estevan|SK|Saskatchewan||"
"North Saanich|BC|British Columbia||"
"Warman|SK|Saskatchewan||"
"La Tuque|QC|Quebec||"
"Norwich|ON|Ontario||"
"Meaford|ON|Ontario||"
"Adjala-Tosorontio|ON|Ontario||"
"Hamilton Township|ON|Ontario||"
"St. Clements|MB|Manitoba||"
"Saint-Amable|QC|Quebec||"
"Weyburn|SK|Saskatchewan||"
"South Dundas|ON|Ontario||"
"L'Ile-Perrot|QC|Quebec||"
"Notre-Dame-de-l'Ile-Perrot|QC|Quebec||"
"Williams Lake|BC|British Columbia||"
"Elliot Lake|ON|Ontario||"
"Cantley|QC|Quebec||"
"Nelson|BC|British Columbia||"
"Lambton Shores|ON|Ontario||"
"Mapleton|ON|Ontario||"
"Georgian Bluffs|ON|Ontario||"
"Rawdon|QC|Quebec||"
"Campbellton|NB|New Brunswick||"
"View Royal|BC|British Columbia||"
"Coldstream|BC|British Columbia||"
"Chester|NS|Nova Scotia||"
"Queens|NS|Nova Scotia||"
"Selkirk|MB|Manitoba||"
"Saint-Felicien|QC|Quebec||"
"Hawkesbury|ON|Ontario||"
"Roberval|QC|Quebec||"
"Sainte-Agathe-des-Monts|QC|Quebec||"
"North Dumfries|ON|Ontario||"
"Rideau Lakes|ON|Ontario||"
"Sechelt|BC|British Columbia||"
"North Glengarry|ON|Ontario||"
"South Huron|ON|Ontario||"
"Marieville|QC|Quebec||"
"Tay|ON|Ontario||"
"Temiskaming Shores|ON|Ontario||"
"Hinton|AB|Alberta||"
"Saint-Sauveur|QC|Quebec||"
"Quesnel|BC|British Columbia||"
"Elizabethtown-Kitley|ON|Ontario||"
"Morinville|AB|Alberta||"
"Grey Highlands|ON|Ontario||"
"Stratford|PE|Prince Edward Island||"
"Alfred and Plantagenet|ON|Ontario||"
"Mont-Tremblant|QC|Quebec||"
"Martensville|SK|Saskatchewan||"
"Saint-Raymond|QC|Quebec||"
"Amherst|NS|Nova Scotia||"
"Ramara|ON|Ontario||"
"Bois-des-Filion|QC|Quebec||"
"Leeds and the Thousand Islands|ON|Ontario||"
"Carignan|QC|Quebec||"
"Brockton|ON|Ontario||"
"Laurentian Valley|ON|Ontario||"
"East St. Paul|MB|Manitoba||"
"Lorraine|QC|Quebec||"
"Sainte-Julienne|QC|Quebec||"
"Blackfalds|AB|Alberta||"
"Malahide|ON|Ontario||"
"Oromocto|NB|New Brunswick||"
"Olds|AB|Alberta||"
"Huron East|ON|Ontario||"
"Stanley|MB|Manitoba||"
"Penetanguishene|ON|Ontario||"
"Qualicum Beach|BC|British Columbia||"
"Notre-Dame-des-Prairies|QC|Quebec||"
"West Perth|ON|Ontario||"
"Cavan Monaghan|ON|Ontario||"
"Arnprior|ON|Ontario||"
"Smiths Falls|ON|Ontario||"
"Pont-Rouge|QC|Quebec||"
"Champlain|ON|Ontario||"
"Coaticook|QC|Quebec||"
"Minto|ON|Ontario||"
"Morden|MB|Manitoba||"
"Mono|ON|Ontario||"
"Corman Park No. 344|SK|Saskatchewan||"
"Ladysmith|BC|British Columbia||"
"Bridgewater|NS|Nova Scotia||"
"Dauphin|MB|Manitoba||"
"Otterburn Park|QC|Quebec||"
"Taber|AB|Alberta||"
"South Bruce Peninsula|ON|Ontario||"
"Edson|AB|Alberta||"
"Farnham|QC|Quebec||"
"Kapuskasing|ON|Ontario||"
"La Malbaie|QC|Quebec||"
"Renfrew|ON|Ontario||"
"Coaldale|AB|Alberta||"
"Portugal Cove-St. Philip's|NL|Newfoundland and Labrador||"
"Zorra|ON|Ontario||"
"Kitimat|BC|British Columbia||"
"Shelburne|ON|Ontario||"
"Happy Valley|NL|Newfoundland and Labrador||"
"Saint-Hippolyte|QC|Quebec||"
"Castlegar|BC|British Columbia||"
"Church Point|NS|Nova Scotia||"
"Drumheller|AB|Alberta||"
"Kirkland Lake|ON|Ontario||"
"Argyle|NS|Nova Scotia||"
"Torbay|NL|Newfoundland and Labrador||"
"La Peche|QC|Quebec||"
"Banff|AB|Alberta||"
"Innisfail|AB|Alberta||"
"Nicolet|QC|Quebec||"
"Rockwood|MB|Manitoba||"
"Drummond/North Elmsley|ON|Ontario||"
"Dryden|ON|Ontario||"
"Iqaluit|NU|Nunavut||"
"Fort Frances|ON|Ontario||"
"La Sarre|QC|Quebec||"
"Trail|BC|British Columbia||"
"Chandler|QC|Quebec||"
"Stone Mills|ON|Ontario||"
"Hanover|ON|Ontario||"
"South-West Oxford|ON|Ontario||"
"Acton Vale|QC|Quebec||"
"Bromont|QC|Quebec||"
"Beckwith|ON|Ontario||"
"Goderich|ON|Ontario||"
"Plympton-Wyoming|ON|Ontario||"
"Central Huron|ON|Ontario||"
"Rigaud|QC|Quebec||"
"Louiseville|QC|Quebec||"
"Chibougamau|QC|Quebec||"
"Aylmer|ON|Ontario||"
"Delson|QC|Quebec||"
"Kimberley|BC|British Columbia||"
"Blandford-Blenheim|ON|Ontario||"
"Bayham|ON|Ontario||"
"Augusta|ON|Ontario||"
"Puslinch|ON|Ontario||"
"Beauport|QC|Quebec||"
"Saint-Remi|QC|Quebec||"
"St. Marys|ON|Ontario||"
"Drayton Valley|AB|Alberta||"
"Ponoka|AB|Alberta||"
"Labrador City|NL|Newfoundland and Labrador||"
"Donnacona|QC|Quebec||"
"Southgate|ON|Ontario||"
"McNab/Braeside|ON|Ontario||"
"Macdonald|MB|Manitoba||"
"Hampstead|QC|Quebec||"
"Baie-Saint-Paul|QC|Quebec||"
"Merritt|BC|British Columbia||"
"Bluewater|ON|Ontario||"
"East Zorra-Tavistock|ON|Ontario||"
"Brownsburg|QC|Quebec||"
"Stoneham-et-Tewkesbury|QC|Quebec||"
"Asbestos|QC|Quebec||"
"Huron-Kinloss|ON|Ontario||"
"Coteau-du-Lac|QC|Quebec||"
"The Blue Mountains|ON|Ontario||"
"Whitewater Region|ON|Ontario||"
"Edwardsburgh/Cardinal|ON|Ontario||"
"Sainte-Anne-des-Monts|QC|Quebec||"
"Old Chelsea|QC|Quebec||"
"North Stormont|ON|Ontario||"
"Alnwick/Haldimand|ON|Ontario||"
"Peace River|AB|Alberta||"
"Arran-Elderslie|ON|Ontario||"
"Saint-Zotique|QC|Quebec||"
"Val-Shefford|QC|Quebec||"
"Douro-Dummer|ON|Ontario||"
"Plessisville|QC|Quebec||"
"Ritchot|MB|Manitoba||"
"Otonabee-South Monaghan|ON|Ontario||"
"Shediac|NB|New Brunswick||"
"Slave Lake|AB|Alberta||"
"Port-Cartier|QC|Quebec||"
"Saint-Lambert-de-Lauzon|QC|Quebec||"
"Barrington|NS|Nova Scotia||"
"Rocky Mountain House|AB|Alberta||"
"Chatsworth|ON|Ontario||"
"Stephenville|NL|Newfoundland and Labrador||"
"Muskoka Falls|ON|Ontario||"
"Devon|AB|Alberta||"
"Yarmouth|NS|Nova Scotia||"
"Boischatel|QC|Quebec||"
"Parry Sound|ON|Ontario||"
"Pointe-Calumet|QC|Quebec||"
"Beaubassin East / Beaubassin-est|NB|New Brunswick||"
"Wainfleet|ON|Ontario||"
"Cramahe|ON|Ontario||"
"Beauceville|QC|Quebec||"
"North Middlesex|ON|Ontario||"
"Amqui|QC|Quebec||"
"Sainte-Catherine-de-la-Jacques-Cartier|QC|Quebec||"
"Clarenville|NL|Newfoundland and Labrador||"
"Mont-Joli|QC|Quebec||"
"Dysart et al|ON|Ontario||"
"Wainwright|AB|Alberta||"
"Contrecoeur|QC|Quebec||"
"Beresford|NB|New Brunswick||"
"Saint-Joseph-du-Lac|QC|Quebec||"
"Hope|BC|British Columbia||"
"Gimli|MB|Manitoba||"
"Douglas|NB|New Brunswick||"
"Saint-Apollinaire|QC|Quebec||"
"Hindon Hill|ON|Ontario||"
"Les Cedres|QC|Quebec||"
"La Broquerie|MB|Manitoba||"
"Kent|BC|British Columbia||"
"Tweed|ON|Ontario||"
"Saint-Felix-de-Valois|QC|Quebec||"
"Bay Roberts|NL|Newfoundland and Labrador||"
"Melfort|SK|Saskatchewan||"
"Bonnyville|AB|Alberta||"
"Stettler|AB|Alberta||"
"Saint-Calixte|QC|Quebec||"
"Lac-Megantic|QC|Quebec||"
"Perth|ON|Ontario||"
"Oliver Paipoonge|ON|Ontario||"
"Humboldt|SK|Saskatchewan||"
"Charlemagne|QC|Quebec||"
"Pontiac|QC|Quebec||"
"St. Paul|AB|Alberta||"
"Petrolia|ON|Ontario||"
"Southwest Middlesex|ON|Ontario||"
"Front of Yonge|ON|Ontario||"
"Vegreville|AB|Alberta||"
"Sainte-Brigitte-de-Laval|QC|Quebec||"
"Princeville|QC|Quebec||"
"Vercheres|QC|Quebec||"
"The Pas|MB|Manitoba||"
"Saint-Cesaire|QC|Quebec||"
"La Ronge|SK|Saskatchewan||"
"Tay Valley|ON|Ontario||"
"South Bruce|ON|Ontario||"
"McMasterville|QC|Quebec||"
"Redcliff|AB|Alberta||"
"Crowsnest Pass|AB|Alberta||"
"Saint-Philippe|QC|Quebec||"
"Richelieu|QC|Quebec||"
"Notre-Dame-du-Mont-Carmel|QC|Quebec||"
"L'Ange-Gardien|QC|Quebec||"
"Sainte-Martine|QC|Quebec||"
"Saint-Pie|QC|Quebec||"
"Peachland|BC|British Columbia||"
"Ashfield-Colborne-Wawanosh|ON|Ontario||"
"Trent Lakes|ON|Ontario||"
"Northern Rockies|BC|British Columbia||"
"Cookshire|QC|Quebec||"
"West St. Paul|MB|Manitoba||"
"Windsor|QC|Quebec||"
"L'Epiphanie|QC|Quebec||"
"Creston|BC|British Columbia||"
"Smithers|BC|British Columbia||"
"Cornwall|PE|Prince Edward Island||"
"Meadow Lake|SK|Saskatchewan||"
"Lanark Highlands|ON|Ontario||"
"Sackville|NB|New Brunswick||"
"Grand Falls|NB|New Brunswick||"
"Cochrane|ON|Ontario||"
